AMC71012.1,P64936.1,44.3
AMC71012.1,P16939.1,36.8
AMC71012.1,Q8C5P5.2,31.4
AMC71012.1,P39213.1,30.5
AMC71013.1,P9WLJ6.1,48.1
AMC71013.1,P75680.1,48.5
AMC71013.1,P25438.1,48.5
AMC71013.1,P64938.1,44.3
AMC71013.1,P0A3L3.1,41.4
AMC71013.1,Q06715.1,38.5
AMC71022.1,A9L1P1.1,28.0
AMC71022.1,Q90185.1,27.2
AMC71022.1,A6WS92.1,26.7
AMC71024.1,Q2JSG7.1,30.5
AMC71024.1,Q640L5.1,30.9
AMC71024.1,Q2JP46.1,30.5
AMC71024.1,A9IW95.1,30.5
AMC71026.1,P49047.2,31.4
AMC71026.1,A4SXM1.1,27.6
AMC71026.1,Q89EN5.1,27.6
AMC71026.1,Q0BUN1.1,27.6
AMC71028.1,Q06003.3,36.4
AMC71028.1,P67379.1,34.7
AMC71028.1,Q5DTZ6.2,30.9
AMC71028.1,Q9ULK6.2,30.9
AMC71028.1,Q566M8.1,30.9
AMC71033.1,P71707.3,57.3
AMC71033.1,Q4UK08.1,48.5
AMC71036.1,Q6NHD4.1,49.8
AMC71036.1,Q10322.1,43.9
AMC71036.1,P66800.1,39.3
AMC71036.1,Q9BWU0.1,38.5
AMC71036.1,P46017.1,37.6
AMC71036.1,O65934.1,37.2
AMC71036.1,O23305.1,36.0
AMC71036.1,P53924.1,33.9
AMC71036.1,A6ZRW7.1,33.9
AMC71037.1,P66800.1,46.4
AMC71037.1,Q8FTJ5.1,43.9
AMC71037.1,B7SY83.1,43.9
AMC71037.1,Q8NQJ3.1,42.2
AMC71037.1,Q6NHD4.1,42.2
AMC71037.1,O23305.1,42.6
AMC71037.1,Q86HG9.2,41.0
AMC71037.1,O65934.1,40.6
AMC71037.1,O65934.1,33.0
AMC71037.1,P46017.1,38.5
AMC71038.1,B9GE13.1,34.7
AMC71039.1,Q9ULJ6.3,30.5
AMC71039.1,Q6P1E1.1,30.5
AMC71040.1,Q82DY0.1,34.3
AMC71040.1,Q9XAQ5.1,33.4
AMC71040.1,B1W518.1,33.0
AMC71040.1,A0LRI2.1,32.6
AMC71040.1,Q0RRW7.2,32.6
AMC71040.1,Q2JFL9.1,32.6
AMC71040.1,A8LCA0.1,31.8
AMC71040.1,Q9PWF7.3,30.5
AMC71041.1,P47177.2,43.5
AMC71041.1,Q24JJ8.1,41.8
AMC71041.1,Q9LJH5.1,41.8
AMC71041.1,Q9HDX2.1,40.1
AMC71041.1,Q4ZY06.1,38.9
AMC71041.1,Q8KCW4.1,38.0
AMC71041.1,Q0WD32.1,37.2
AMC71041.1,P24547.2,36.4
AMC71041.1,P12269.1,36.4
AMC71041.1,P12268.2,36.4
AMC71041.1,Q3SWY3.1,36.4
AMC71041.1,E9PU28.1,36.4
AMC71041.1,Q9ZL14.1,36.4
AMC71041.1,P56088.1,36.4
AMC71041.1,O67820.1,36.0
AMC71041.1,Q10CE4.1,35.5
AMC71041.1,A0LTS5.1,35.5
AMC71041.1,P47996.1,35.1
AMC71041.1,Q8F4Q4.1,35.1
AMC71041.1,Q9SA34.1,34.7
AMC71042.1,P9WF38.1,35.1
AMC71042.1,B2HK79.1,33.9
AMC71042.1,Q7TWJ2.1,32.6
