WP_010422183.1,P61343.1,29.9,38.462
WP_010976817.1,Q9S3N1.1,37.7,28.571
WP_011270372.1,P40819.2,41.6,31.148
WP_011270452.1,Q5ZLW3.1,30.7,26.23
WP_011270479.1,O31980.1,32.7,51.613
WP_011270512.1,Q7XD96.2,33.0,20.238
WP_011270552.1,M3W955.2,42.1,26.0
WP_011270590.1,P45370.2,54.7,23.81
WP_011270604.1,Q06758.1,47.2,30.851
WP_011270609.1,Q8CHI8.3,28.5,35.385
WP_011270610.1,Q01004.1,36.3,31.304
WP_011270618.1,Q5UPE2.1,57.5,29.665
WP_011270624.1,P9WF20.1,38.5,31.169
WP_011270626.1,Q4J947.1,34.1,27.174
WP_011270662.1,A2R7P5.1,40.5,29.412
WP_011270666.1,Q22682.3,49.9,27.815
WP_011270667.1,Q9X5V3.1,27.9,28.846
WP_011270671.1,Q4UKG8.1,38.8,66.667
WP_011270695.1,Q57606.1,34.9,38.596
WP_011270729.1,Q9DCQ3.1,28.8,44.444
WP_011270731.1,Q9VHM2.3,33.0,36.0
WP_011270732.1,Q47421.2,41.9,23.423
WP_011270734.1,P44699.1,51.3,38.961
WP_011270739.1,P34529.3,33.5,35.088
WP_011270751.1,Q5E4H8.1,52.7,25.225
WP_011270756.1,Q6PGP7.1,43.3,29.167
WP_011270759.1,Q8XKF6.1,48.8,41.772
WP_011270763.1,P0A0C0.1,54.7,25.217
WP_011270795.1,Q7VSX6.1,51.6,22.222
WP_011270820.1,P42597.2,41.0,38.0
WP_011270821.1,P65068.1,35.2,30.303
WP_011270827.1,Q9JI93.1,38.8,29.825
WP_011270838.1,Q9Y6V0.5,37.1,32.639
WP_011270839.1,P37513.1,43.8,36.145
WP_011270852.1,B2A526.1,32.7,33.333
WP_011270869.1,P65028.1,36.3,34.0
WP_011270874.1,P0CT10.1,48.8,30.328
WP_011270877.1,Q9Z6M5.1,46.3,31.429
WP_011270915.1,O27435.1,57.2,25.43
WP_011270931.1,P55424.1,39.9,27.869
WP_011270992.1,P50024.1,56.9,27.083
WP_011271009.1,Q5VQY3.1,38.8,24.026
WP_011271010.1,Q54M29.2,55.2,27.632
WP_011271024.1,P04052.4,34.1,29.091
WP_011271032.1,Q9M8W7.1,30.7,32.0
WP_011271034.1,Q84W06.2,32.7,31.646
WP_011271061.1,P9WF14.1,37.4,35.556
WP_011271062.1,Q8ZZP3.1,35.5,39.13
WP_011271077.1,P40071.1,38.5,25.781
WP_011271104.1,P19650.1,44.7,23.718
WP_011271108.1,O50462.1,33.5,32.836
WP_011271117.1,P40819.2,34.4,37.5
WP_011271120.1,C5CIU9.1,35.2,27.358
WP_011271122.1,A0A0H3CCP8.1,47.4,43.421
WP_011271140.1,C4R492.1,32.7,26.866
WP_011271148.1,B8J4L3.1,36.9,32.812
WP_011271163.1,P45423.1,48.8,32.323
WP_011271179.1,Q54HL0.1,38.5,20.635
WP_011271185.1,Q1RI12.1,45.2,50.0
WP_011271189.1,B8D6B2.1,32.1,29.63
WP_011271212.1,Q55A00.1,43.8,30.07
WP_011271258.1,Q87LD0.1,31.6,32.927
WP_011271261.1,Q9YER5.2,31.0,63.636
WP_011271263.1,Q9V6H2.1,37.4,31.429
WP_011271269.1,Q2LS66.1,43.0,40.476
WP_011271279.1,P0C077.1,40.8,32.941
WP_011271280.1,P55533.1,36.6,30.986
WP_011271291.1,P37500.1,40.2,25.676
WP_011271294.1,Q74N29.1,36.3,32.468
WP_011271298.1,P17622.1,43.5,36.066
WP_011271300.1,P44154.1,51.9,20.755
WP_011271309.1,P0A130.1,57.2,30.435
WP_011271332.1,Q9KI13.1,34.6,22.424
WP_011271368.1,P36076.1,31.8,30.0
WP_011271370.1,Q3ITQ4.1,52.4,37.179
WP_011271408.1,Q9CD89.1,51.9,28.873
WP_011271409.1,Q9Z4Z5.1,48.0,24.444
WP_011271435.1,Q49W87.1,43.5,32.184
WP_011271451.1,Q72H90.1,49.7,25.85
WP_011271470.1,Q9V6H2.1,38.8,35.294
WP_011271489.1,Q1LV19.1,28.5,52.174
