NP_415117.2,P55192.3,40.1
NP_415117.2,O42881.1,35.3
YP_008592385.1,U3PVA8.1,44.4
YP_008592385.1,Q47141.2,44.6
NP_417158.4,P0AEH7.1,40.1
NP_417158.4,Q88L76.1,29.4
NP_418786.4,P26319.1,48.0
NP_418786.4,P0ADD8.1,46.0
NP_418786.4,Q1M7A0.1,45.2
NP_418786.4,P0AEL9.1,42.9
NP_418786.4,P0AGA8.1,42.4
NP_418786.4,O87940.1,42.4
NP_418786.4,P27667.1,41.0
NP_418786.4,P59969.1,41.8
NP_418786.4,A5W4E2.2,40.7
NP_418786.4,P9WMG1.1,41.0
NP_418786.4,Q7CQM8.1,39.6
NP_418786.4,B7N1J6.1,39.0
NP_418786.4,Q0TC49.1,39.0
NP_418786.4,Q0SZP7.1,39.0
NP_418786.4,Q1R5L6.1,39.0
NP_418786.4,B7NMI3.1,39.0
NP_418786.4,Q3YWK7.1,39.0
NP_418786.4,Q8CXX5.1,39.0
NP_418786.4,Q31VL4.1,39.0
NP_418786.4,A7ZSU8.1,39.0
NP_418786.4,Q8X701.1,39.0
NP_418786.4,B7UKC3.1,39.0
NP_418786.4,Q46791.2,37.9
NP_418786.4,Q9JMT8.1,38.4
NP_418544.2,A6NFX1.4,50.3
NP_418544.2,A4IH46.1,49.4
NP_418544.2,Q3T9M1.1,48.6
NP_418544.2,Q8NA29.1,44.9
NP_418544.2,Q4LE88.2,35.3
NP_418544.2,P58355.1,35.3
NP_418544.2,Q9UMX9.2,35.3
YP_004831120.1,Q7M712.1,24.9
NP_415893.2,Q46856.1,29.7
NP_415115.2,Q04DI0.1,37.3
NP_415115.2,Q9F0Q6.1,37.6
NP_415115.2,P36993.1,34.5
NP_415115.2,P39144.1,30.8
YP_003933616.1,E2JKY7.1,35.6
YP_003933616.1,P0CI69.1,27.8
YP_003933616.1,B3A0Q2.1,24.7
NP_418144.3,Q972G5.1,44.6
NP_418144.3,P95871.1,44.4
NP_418144.3,B8JD21.1,39.9
NP_418144.3,B4UDE1.1,39.9
NP_418144.3,Q2INP9.1,38.7
NP_418144.3,A1K2H9.1,35.6
NP_418144.3,P39839.3,35.9
NP_418144.3,Q3J041.1,34.8
NP_418144.3,A4WQ04.1,34.5
NP_418144.3,Q3B584.2,34.2
NP_418144.3,B0TPX8.1,34.2
NP_418144.3,Q3A097.2,33.9
NP_418144.3,B2RIT0.1,32.3
NP_417679.2,Q59579.2,45.2
NP_417679.2,Q48943.1,45.2
NP_417679.2,O27600.1,44.1
NP_417679.2,P00175.1,43.2
NP_417679.2,P58018.2,42.4
NP_415949.2,Q3V4U8.1,50.8
NP_415949.2,Q3V4T9.1,48.9
NP_415949.2,Q58161.1,48.0
NP_415949.2,Q60328.1,44.6
NP_415949.2,P24421.1,33.4
NP_415949.2,B8D6B7.1,30.3
NP_415690.5,Q0C4C9.1,35.3
NP_418770.2,Q4A127.1,50.3
NP_418770.2,P10486.1,46.6
NP_418770.2,Q13136.1,45.2
NP_418770.2,Q2H0R2.1,44.9
NP_418770.2,Q53RK8.1,41.8
NP_418770.2,Q58900.2,41.8
NP_418770.2,Q6FST5.1,41.5
NP_418770.2,Q91Z80.1,41.3
NP_418770.2,Q91Z79.2,40.1
NP_418770.2,O75145.3,40.1
NP_418770.2,P60469.2,40.1
NP_418770.2,O75335.3,38.4
NP_418770.2,P93008.1,37.3
NP_418631.2,Q93V85.1,31.4
YP_002791261.1,C1P621.1,38.4
YP_002791259.1,C1P619.1,35.1
NP_418168.2,Q8X5U4.1,49.4
NP_418168.2,P37623.1,48.6
NP_418168.2,Q8Z259.1,45.5
NP_418168.2,Q8ZLE2.1,44.9
NP_418168.2,Q55185.1,42.1
NP_418168.2,P0DI99.1,39.3
NP_418168.2,P0DI98.1,39.3
NP_418168.2,Q96ZD7.1,35.6
NP_418168.2,C4LDZ4.1,32.8
NP_418168.2,Q2XXL6.1,30.0
NP_418136.2,P43465.1,57.9
NP_418136.2,Q65Q30.1,51.7
NP_418136.2,Q32A71.2,51.1
NP_418136.2,P09378.2,50.5
NP_418136.2,A1AI83.2,50.5
NP_418136.2,Q8X7B3.2,50.5
NP_418136.2,Q83PD9.3,50.5
NP_418136.2,Q8FBD7.3,50.5
NP_418136.2,P45008.1,50.3
NP_418136.2,B5FPP6.1,49.4
NP_418136.2,O33813.1,49.4
NP_418136.2,A4WG90.1,49.1
NP_418136.2,B4TPR0.1,49.1
NP_418136.2,Q57HG7.1,48.3
NP_418136.2,Q8Z2V5.1,48.3
NP_418136.2,B5F0N0.1,47.7
NP_418136.2,A9MI63.1,47.7
NP_418136.2,P40865.2,47.7
NP_418136.2,P35319.1,47.7
NP_418136.2,Q9HTH5.1,47.4
NP_418136.2,O31249.1,47.2
NP_418085.2,O05083.1,63.8
NP_418085.2,Q9R9N0.1,50.8
NP_418085.2,P13484.1,48.3
NP_418085.2,Q0P9C7.1,47.4
NP_418085.2,Q9R9N1.1,47.4
NP_418085.2,Q46638.2,44.6
NP_418085.2,B1YIT7.1,42.9
NP_418085.2,Q8S4F6.1,41.5
NP_418085.2,P71055.1,41.3
NP_418085.2,I7A3T6.1,41.5
NP_418085.2,Q820M5.1,39.6
NP_418085.2,P31922.1,39.3
NP_418085.2,Q3S2Y2.1,39.0
NP_418085.2,Q41607.1,38.7
NP_418085.2,P04712.1,38.2
NP_418085.2,D4H6M0.1,38.2
YP_026226.4,Q9VGU5.2,46.6
YP_026226.4,Q6PGP7.1,44.9
YP_026226.4,Q6PGP7.1,34.2
YP_026226.4,F4JS25.1,44.6
YP_026226.4,Q6DFB8.1,44.4
YP_026226.4,Q8IUR5.3,43.5
YP_026226.4,O94474.1,43.2
YP_026226.4,Q9M8Y0.1,42.7
YP_026226.4,Q9M8Y0.1,33.9
YP_026226.4,Q58208.1,40.7
YP_026226.4,Q9N593.1,40.4
YP_026226.4,Q9HGM9.1,37.9
YP_026226.4,O74458.1,38.2
YP_026226.4,Q3UV71.2,37.3
YP_026226.4,B0JVV0.1,36.2
NP_417986.4,Q9KVL2.1,60.4
NP_417986.4,P37646.3,46.3
NP_417986.4,P04162.1,41.8
NP_417986.4,O35014.1,41.0
NP_417942.6,Q8T674.1,53.1
NP_417511.2,P49891.2,32.3
